employeenumber;department;jobrole;age;monthlyincome;yearsatcompany;overtime;jobsatisfaction;worklifebalance;flag_turnover;prob_turnover;classificacao_risco_modelo
684;Sales;Sales Executive;45;4286;1;No;1;3;1;0.27182970017493524;Baixo risco
437;Sales;Sales Executive;27;4478;5;Yes;3;3;0;0.2715244466327946;Baixo risco
1055;Sales;Sales Representative;34;2220;1;Yes;3;3;0;0.2714365264920002;Baixo risco
746;Sales;Sales Executive;47;13770;22;Yes;3;2;0;0.27069517209096783;Baixo risco
1641;Research & Development;Manufacturing Director;40;7945;4;Yes;4;2;0;0.2694199860816144;Baixo risco
15;Research & Development;Laboratory Technician;29;4193;9;Yes;3;3;0;0.26642490013589826;Baixo risco
1132;Research & Development;Laboratory Technician;39;6782;5;No;2;2;0;0.2660582898729644;Baixo risco
1639;Sales;Sales Executive;35;10306;13;No;1;3;1;0.2660099790573342;Baixo risco
1739;Sales;Sales Executive;32;9610;4;No;3;1;0;0.2639953116064175;Baixo risco
1436;Sales;Sales Executive;36;5647;3;No;1;2;0;0.26394687628162566;Baixo risco
1125;Sales;Sales Executive;38;7351;1;No;2;3;0;0.263067270072457;Baixo risco
1740;Sales;Manager;40;19833;21;No;2;2;0;0.26261186288583516;Baixo risco
466;Research & Development;Manufacturing Director;41;6032;5;Yes;2;3;0;0.2624028973622469;Baixo risco
1779;Sales;Sales Executive;34;6029;2;No;4;3;0;0.26198847081566895;Baixo risco
1856;Research & Development;Laboratory Technician;47;2105;2;No;3;3;0;0.26126047745026615;Baixo risco
267;Research & Development;Research Scientist;37;3564;8;Yes;1;2;0;0.25968670026292223;Baixo risco
1537;Research & Development;Research Scientist;31;4084;7;No;3;1;1;0.259422491092793;Baixo risco
1657;Sales;Sales Representative;20;2783;2;No;3;3;0;0.25699665899846247;Baixo risco
1237;Research & Development;Manufacturing Director;36;10252;7;Yes;1;3;0;0.2561668216657975;Baixo risco
1046;Research & Development;Laboratory Technician;32;4025;8;No;3;3;0;0.2537964509635677;Baixo risco
1164;Human Resources;Human Resources;35;4323;5;No;3;1;0;0.2521713241004785;Baixo risco
61;Research & Development;Research Scientist;37;3022;1;No;2;3;0;0.25215194826294174;Baixo risco
1818;Human Resources;Human Resources;26;2148;5;Yes;2;3;1;0.25139401610419637;Baixo risco
538;Research & Development;Laboratory Technician;25;4031;2;No;1;3;1;0.2509661291359637;Baixo risco
1507;Sales;Sales Executive;28;4898;4;No;1;3;0;0.2503154577908738;Baixo risco
1612;Sales;Sales Executive;45;4385;10;No;1;3;0;0.24897563741160983;Baixo risco
582;Research & Development;Manager;33;13610;7;Yes;3;4;1;0.24703898862366178;Baixo risco
1399;Sales;Sales Executive;25;6232;3;No;3;2;0;0.24596974161486543;Baixo risco
1692;Research & Development;Laboratory Technician;32;1393;1;No;2;3;1;0.24594391377072414;Baixo risco
1535;Sales;Sales Executive;34;7083;10;Yes;3;3;0;0.24569841102783485;Baixo risco
1563;Human Resources;Human Resources;38;6077;6;No;3;3;0;0.24466942857721072;Baixo risco
201;Research & Development;Laboratory Technician;19;1483;1;No;2;3;0;0.24319589038123576;Baixo risco
1433;Research & Development;Research Scientist;31;1261;1;No;2;4;1;0.24290680729461642;Baixo risco
1402;Research & Development;Research Scientist;43;4081;20;Yes;3;1;0;0.24236374612794245;Baixo risco
986;Sales;Sales Executive;40;13194;1;Yes;2;2;1;0.24194066121243007;Baixo risco
1541;Sales;Sales Representative;34;2308;11;Yes;3;3;0;0.23929487261438406;Baixo risco
1622;Research & Development;Manufacturing Director;28;4877;5;No;1;2;0;0.2362222809202591;Baixo risco
747;Sales;Sales Executive;30;5304;8;No;4;2;0;0.23595264647971298;Baixo risco
1890;Human Resources;Human Resources;36;3886;10;No;4;2;0;0.23522469332716825;Baixo risco
1329;Sales;Sales Executive;41;6151;19;No;2;3;0;0.23448352898171018;Baixo risco
104;Research & Development;Laboratory Technician;30;5126;10;Yes;4;2;0;0.23388967163638905;Baixo risco
399;Sales;Sales Representative;31;2789;2;No;2;2;0;0.2330648724715026;Baixo risco
1554;Sales;Sales Representative;35;2430;5;No;3;3;0;0.23299552444584704;Baixo risco
246;Research & Development;Research Scientist;31;3929;4;Yes;4;3;0;0.23297938793766543;Baixo risco
1301;Research & Development;Research Scientist;28;2080;3;No;1;2;0;0.23255457110062694;Baixo risco
1987;Human Resources;Human Resources;25;2187;2;No;2;3;0;0.23212847882855894;Baixo risco
2064;Research & Development;Manufacturing Director;27;6142;6;Yes;2;3;0;0.2284596947456066;Baixo risco
879;Sales;Sales Executive;25;4194;5;Yes;1;3;0;0.22838649702976707;Baixo risco
1992;Research & Development;Laboratory Technician;25;3977;2;Yes;3;2;0;0.2283541437116397;Baixo risco
956;Sales;Sales Executive;26;4294;7;No;1;3;0;0.22807028472842458;Baixo risco
974;Sales;Sales Representative;29;2157;3;No;4;3;0;0.2271141691725199;Baixo risco
1766;Research & Development;Healthcare Representative;38;5811;1;Yes;4;3;0;0.22668866124230386;Baixo risco
1725;Research & Development;Laboratory Technician;24;3907;6;No;1;4;0;0.22568095154345388;Baixo risco
744;Research & Development;Laboratory Technician;44;3708;5;No;3;3;0;0.22556631838885322;Baixo risco
2020;Research & Development;Research Scientist;44;2436;4;Yes;4;3;0;0.22547373681124613;Baixo risco
1135;Sales;Sales Representative;31;2791;2;No;4;3;0;0.2253000978700886;Baixo risco
144;Research & Development;Laboratory Technician;22;2871;0;No;4;3;0;0.2221980427622267;Baixo risco
1502;Research & Development;Laboratory Technician;33;3838;5;No;2;3;0;0.22087968514792494;Baixo risco
805;Sales;Sales Representative;35;2572;3;No;4;2;0;0.22045051889223577;Baixo risco
663;Research & Development;Laboratory Technician;43;5679;8;Yes;3;3;0;0.21929657629628505;Baixo risco
1435;Research & Development;Laboratory Technician;36;5810;10;No;4;2;0;0.2188260650698269;Baixo risco
103;Human Resources;Human Resources;46;5021;4;Yes;2;3;0;0.21804259825574412;Baixo risco
1160;Research & Development;Laboratory Technician;31;2610;2;No;3;2;1;0.21741721623875596;Baixo risco
1101;Research & Development;Research Scientist;33;4508;13;No;3;3;1;0.2167577087206593;Baixo risco
397;Research & Development;Research Scientist;36;4485;8;No;2;3;0;0.21646921052831117;Baixo risco
1564;Research & Development;Laboratory Technician;35;2450;3;No;1;3;0;0.21489789617943844;Baixo risco
1659;Research & Development;Laboratory Technician;36;2013;4;No;2;3;0;0.2147307783526204;Baixo risco
604;Sales;Sales Executive;31;6582;6;Yes;4;4;0;0.21439706086077054;Baixo risco
1908;Sales;Sales Executive;36;5507;4;No;2;1;0;0.21315248260398406;Baixo risco
184;Human Resources;Human Resources;30;6347;11;Yes;4;1;0;0.21235884477205602;Baixo risco
216;Sales;Sales Representative;34;2231;4;No;3;3;0;0.21205459641315408;Baixo risco
1014;Research & Development;Healthcare Representative;35;10388;16;Yes;3;2;0;0.21116144027291542;Baixo risco
701;Research & Development;Research Scientist;20;1009;1;Yes;3;3;1;0.21097318488490266;Baixo risco
1156;Research & Development;Laboratory Technician;18;1904;0;No;3;3;1;0.21006906568865732;Baixo risco
760;Human Resources;Human Resources;39;6389;8;No;2;1;0;0.20989133310404687;Baixo risco
749;Sales;Sales Representative;29;2642;1;No;3;3;0;0.20870074804753747;Baixo risco
2027;Research & Development;Research Scientist;29;4787;2;Yes;4;4;1;0.2077624428720122;Baixo risco
1807;Research & Development;Laboratory Technician;34;5346;7;No;1;2;1;0.20731800511378276;Baixo risco
556;Research & Development;Laboratory Technician;38;1702;1;Yes;4;3;0;0.20584036789886817;Baixo risco
861;Research & Development;Research Scientist;30;3761;5;No;4;2;0;0.20460353259048078;Baixo risco
1390;Sales;Sales Executive;39;6120;5;Yes;4;4;0;0.20159016367757285;Baixo risco
518;Research & Development;Manufacturing Director;37;4197;1;Yes;2;2;0;0.20158434536756317;Baixo risco
1678;Sales;Sales Executive;41;7082;2;Yes;3;3;0;0.20091588197432353;Baixo risco
1613;Sales;Sales Executive;31;5332;5;No;1;3;0;0.2007017414274571;Baixo risco
632;Sales;Sales Representative;24;2400;2;No;4;3;0;0.20009303655377556;Baixo risco
1833;Sales;Sales Executive;31;9637;3;No;1;3;0;0.19755840955736406;Baixo risco
666;Sales;Sales Representative;34;2579;8;Yes;3;3;0;0.19460896245231374;Baixo risco
1981;Research & Development;Healthcare Representative;24;4617;4;No;3;2;0;0.19412432570866656;Baixo risco
2045;Sales;Sales Executive;36;6652;6;No;4;2;0;0.19411805771713259;Baixo risco
837;Research & Development;Healthcare Representative;38;6288;4;No;1;2;0;0.1938577900632465;Baixo risco
656;Sales;Sales Executive;37;9602;3;Yes;3;2;0;0.1938486503769364;Baixo risco
1049;Human Resources;Human Resources;45;2177;6;No;2;3;0;0.19294564699427816;Baixo risco
311;Sales;Sales Representative;37;2793;9;No;4;3;0;0.19225875899491524;Baixo risco
1980;Research & Development;Manufacturing Director;54;4440;5;Yes;1;3;0;0.19153179649180682;Baixo risco
686;Research & Development;Laboratory Technician;26;2659;3;Yes;4;3;0;0.19046197201282433;Baixo risco
1395;Sales;Sales Executive;33;9998;5;No;4;4;0;0.1902825013067086;Baixo risco
463;Sales;Sales Executive;29;8268;7;Yes;2;3;0;0.1899289795386814;Baixo risco
1220;Sales;Sales Executive;33;4539;10;No;3;2;0;0.1895994639516637;Baixo risco
284;Research & Development;Research Scientist;22;2328;4;Yes;2;2;0;0.189540825269269;Baixo risco
425;Research & Development;Laboratory Technician;45;5210;24;No;1;3;0;0.18946511142074085;Baixo risco
893;Sales;Sales Representative;38;2899;2;No;2;3;0;0.18847334223284737;Baixo risco
473;Sales;Manager;48;12504;0;No;3;1;0;0.18836397796966894;Baixo risco
426;Research & Development;Research Scientist;31;2695;2;Yes;4;1;0;0.18726858220695253;Baixo risco
328;Research & Development;Laboratory Technician;33;2707;9;No;1;4;1;0.1865138789698261;Baixo risco
214;Research & Development;Research Scientist;58;3346;1;Yes;2;2;0;0.18603175509869876;Baixo risco
764;Research & Development;Healthcare Representative;27;6811;7;No;1;1;0;0.18600951931347567;Baixo risco
1880;Sales;Sales Executive;36;5673;10;Yes;3;3;0;0.1852815235977572;Baixo risco
1165;Sales;Sales Executive;29;7336;11;No;1;1;1;0.1851184533759123;Baixo risco
874;Research & Development;Laboratory Technician;44;2818;3;Yes;4;2;0;0.18474040346599357;Baixo risco
934;Research & Development;Laboratory Technician;34;2008;1;No;2;3;0;0.18403225786356484;Baixo risco
347;Research & Development;Research Scientist;42;6545;3;Yes;1;3;0;0.1832659287285076;Baixo risco
1826;Research & Development;Laboratory Technician;35;2705;5;No;3;4;0;0.18271091120748897;Baixo risco
1760;Research & Development;Laboratory Technician;38;2468;6;No;2;2;0;0.18227830196383205;Baixo risco
2056;Sales;Sales Executive;39;12031;20;No;4;2;0;0.18216040165185798;Baixo risco
445;Sales;Sales Executive;39;5238;1;Yes;3;2;1;0.18112452397433307;Baixo risco
1784;Sales;Sales Executive;31;5468;12;No;4;3;0;0.18107579825653503;Baixo risco
731;Human Resources;Manager;41;19141;21;No;4;2;0;0.18093740055999963;Baixo risco
1113;Sales;Sales Executive;50;4728;0;Yes;3;3;1;0.1803738264697037;Baixo risco
2018;Sales;Sales Executive;25;4907;5;Yes;3;2;0;0.18015526002418428;Baixo risco
1082;Research & Development;Healthcare Representative;28;8722;10;No;1;2;1;0.18007371669961839;Baixo risco
1927;Sales;Sales Executive;28;6834;7;Yes;4;3;0;0.1795937291781849;Baixo risco
1952;Research & Development;Laboratory Technician;26;2867;7;No;1;2;0;0.17925134344152543;Baixo risco
193;Research & Development;Research Scientist;38;4317;3;Yes;3;3;0;0.17903687586999004;Baixo risco
1577;Research & Development;Research Scientist;34;2972;1;No;4;1;0;0.178856192254828;Baixo risco
1043;Research & Development;Manufacturing Director;39;10880;21;Yes;1;3;0;0.17711362432761263;Baixo risco
510;Research & Development;Research Scientist;26;3102;6;No;1;3;1;0.17662306840097652;Baixo risco
1467;Human Resources;Human Resources;34;2742;2;No;3;3;1;0.17638009886919942;Baixo risco
1102;Research & Development;Laboratory Technician;28;2207;4;No;3;2;0;0.17615587839598704;Baixo risco
1560;Sales;Sales Executive;33;6392;2;No;1;1;0;0.17474708753070362;Baixo risco
1193;Research & Development;Research Scientist;19;2552;1;No;1;3;0;0.17457718085608168;Baixo risco
1311;Research & Development;Laboratory Technician;30;4627;9;No;4;3;0;0.1738500799424349;Baixo risco
91;Sales;Sales Executive;59;5473;4;No;3;2;0;0.17306721125603988;Baixo risco
1171;Sales;Sales Executive;42;5155;6;No;1;4;0;0.1723942142343979;Baixo risco
316;Research & Development;Laboratory Technician;52;3212;2;No;4;2;0;0.1720694793038848;Baixo risco
645;Sales;Sales Representative;25;2096;7;No;3;3;0;0.1720235921053468;Baixo risco
124;Research & Development;Healthcare Representative;46;10673;10;Yes;1;2;0;0.17153738901229565;Baixo risco
1746;Human Resources;Human Resources;24;2145;2;No;4;3;0;0.1712634225367021;Baixo risco
1950;Sales;Sales Executive;34;9888;14;No;4;2;0;0.17125257106512223;Baixo risco
1997;Research & Development;Manufacturing Director;38;5321;8;No;3;3;0;0.17091021416408006;Baixo risco
16;Research & Development;Research Scientist;31;2911;5;No;3;2;0;0.17023258624495424;Baixo risco
900;Sales;Sales Representative;37;2973;5;No;4;3;0;0.17010035673406962;Baixo risco
455;Research & Development;Laboratory Technician;29;3983;3;No;4;3;0;0.16911385456860434;Baixo risco
1985;Research & Development;Laboratory Technician;40;6323;10;No;3;4;0;0.1688809666877253;Baixo risco
1816;Research & Development;Manufacturing Director;30;9667;7;No;3;3;0;0.16804519446343383;Baixo risco
1587;Research & Development;Healthcare Representative;35;6142;5;Yes;3;3;0;0.16746006146190404;Baixo risco
2014;Research & Development;Research Scientist;39;4108;7;No;4;3;0;0.16604987435895546;Baixo risco
24;Research & Development;Research Scientist;38;3944;3;Yes;4;3;0;0.1659108876656899;Baixo risco
530;Research & Development;Laboratory Technician;31;2218;4;No;1;3;0;0.16565280571112317;Baixo risco
1479;Sales;Sales Executive;30;5301;2;No;3;2;0;0.16537398758005423;Baixo risco
1915;Sales;Sales Executive;34;8103;4;Yes;4;2;0;0.16521131705239148;Baixo risco
613;Sales;Manager;31;11557;5;No;4;2;0;0.16466490156610486;Baixo risco
916;Sales;Sales Executive;28;4908;4;No;4;3;0;0.16450887749663282;Baixo risco
1412;Research & Development;Manufacturing Director;35;9362;2;No;4;3;0;0.16418148680853636;Baixo risco
1753;Research & Development;Healthcare Representative;29;6294;3;Yes;3;4;0;0.16405135806247653;Baixo risco
453;Sales;Sales Executive;40;7457;4;Yes;4;2;0;0.16388887030688498;Baixo risco
1434;Research & Development;Laboratory Technician;27;2099;5;No;1;4;0;0.1636994853932038;Baixo risco
1761;Sales;Sales Executive;31;8161;1;No;3;3;1;0.16360100089113513;Baixo risco
533;Sales;Sales Executive;30;6577;5;No;3;3;0;0.16328819054867302;Baixo risco
85;Research & Development;Manufacturing Director;36;6499;6;No;2;3;0;0.16204478346728374;Baixo risco
1787;Sales;Sales Executive;37;4189;5;No;2;3;0;0.16174223308763125;Baixo risco
738;Sales;Sales Representative;50;3875;2;No;2;3;0;0.16163804524695874;Baixo risco
1251;Research & Development;Healthcare Representative;31;6833;6;Yes;1;2;0;0.16149812433644672;Baixo risco
848;Research & Development;Research Scientist;26;2366;8;Yes;3;3;1;0.16005000250925952;Baixo risco
1881;Research & Development;Laboratory Technician;31;4197;10;No;3;3;0;0.15925660480806483;Baixo risco
2012;Research & Development;Laboratory Technician;40;2406;1;No;4;2;0;0.15854662655030657;Baixo risco
496;Research & Development;Healthcare Representative;35;6540;1;No;2;3;0;0.15818147732898513;Baixo risco
88;Research & Development;Research Scientist;35;2194;3;No;1;2;0;0.1581544052165324;Baixo risco
1136;Research & Development;Research Scientist;28;3201;5;No;2;1;0;0.15803329187188103;Baixo risco
1447;Research & Development;Laboratory Technician;34;3294;5;No;2;2;0;0.15802705305096854;Baixo risco
145;Research & Development;Healthcare Representative;51;7484;13;No;1;2;0;0.15722719019542142;Baixo risco
772;Research & Development;Laboratory Technician;32;5309;10;No;4;3;0;0.15718440973868375;Baixo risco
513;Sales;Sales Executive;36;7596;10;No;3;3;0;0.1562596554869219;Baixo risco
829;Human Resources;Human Resources;36;2143;5;No;2;3;0;0.15625194720157207;Baixo risco
1392;Research & Development;Research Scientist;41;5467;6;Yes;4;2;0;0.1556085972319513;Baixo risco
1924;Sales;Sales Executive;33;5487;10;No;3;2;0;0.1555480111565452;Baixo risco
1929;Sales;Sales Executive;39;5736;3;No;3;3;0;0.15509678289317988;Baixo risco
1411;Research & Development;Laboratory Technician;37;3629;3;No;3;3;0;0.15478690549141247;Baixo risco
2046;Sales;Sales Executive;45;4850;5;No;3;3;0;0.1547759412672124;Baixo risco
429;Research & Development;Manager;39;17068;21;Yes;1;3;0;0.15471729731322584;Baixo risco
1306;Research & Development;Manager;45;18061;0;No;2;3;0;0.15411354606604294;Baixo risco
1597;Research & Development;Healthcare Representative;34;5063;8;No;3;2;0;0.15407684521518306;Baixo risco
856;Research & Development;Research Scientist;35;2559;6;No;1;2;0;0.1540596158901384;Baixo risco
470;Human Resources;Human Resources;42;2696;3;Yes;3;3;0;0.1525888903076911;Baixo risco
1310;Research & Development;Research Scientist;39;3904;5;No;1;3;1;0.15190529948029594;Baixo risco
1842;Human Resources;Human Resources;31;2956;1;No;1;3;1;0.15132603689774857;Baixo risco
1211;Sales;Sales Executive;30;4115;4;No;1;3;0;0.15125612237727487;Baixo risco
1056;Sales;Sales Representative;28;1052;1;No;2;3;0;0.1505112322570011;Baixo risco
1409;Research & Development;Laboratory Technician;52;2950;5;No;1;1;0;0.14968108039781372;Baixo risco
665;Human Resources;Human Resources;44;5985;2;No;3;4;0;0.14907382062375646;Baixo risco
1258;Research & Development;Laboratory Technician;48;2559;1;No;2;2;0;0.1481359378661482;Baixo risco
351;Research & Development;Laboratory Technician;42;2593;9;Yes;1;3;0;0.14805156967849104;Baixo risco
1943;Sales;Sales Executive;42;5087;0;Yes;4;3;0;0.14537087502178797;Baixo risco
403;Research & Development;Research Scientist;37;2326;4;Yes;4;2;0;0.14497163400858942;Baixo risco
699;Research & Development;Manufacturing Director;36;8847;3;Yes;2;3;0;0.1448293065924967;Baixo risco
444;Research & Development;Manager;39;19272;21;No;4;3;0;0.14379503275796215;Baixo risco
155;Research & Development;Laboratory Technician;36;2835;1;No;4;3;0;0.14315957717045927;Baixo risco
1583;Sales;Sales Executive;38;4198;3;No;2;4;0;0.14306658278890916;Baixo risco
1150;Research & Development;Manufacturing Director;29;5056;10;Yes;4;2;0;0.14119460335775488;Baixo risco
729;Sales;Sales Executive;40;10475;18;Yes;1;3;0;0.1409704808738148;Baixo risco
910;Human Resources;Human Resources;33;2277;4;Yes;2;4;0;0.1405300044042594;Baixo risco
416;Sales;Sales Executive;31;6929;8;No;4;2;0;0.14047556820692017;Baixo risco
329;Sales;Manager;52;19068;33;Yes;3;4;0;0.13975520160378618;Baixo risco
60;Sales;Sales Executive;34;4568;9;No;3;3;0;0.13886550399094344;Baixo risco
1972;Human Resources;Human Resources;38;2991;6;Yes;2;3;0;0.13755133660077362;Baixo risco
936;Sales;Sales Executive;42;6244;5;No;3;3;0;0.1373149182552817;Baixo risco
1754;Sales;Sales Executive;30;7140;7;No;1;3;0;0.13722368422116013;Baixo risco
1932;Research & Development;Research Scientist;34;5747;15;Yes;4;3;0;0.13685795723863386;Baixo risco
150;Research & Development;Laboratory Technician;24;2774;5;No;3;3;0;0.13649838160688077;Baixo risco
1945;Sales;Sales Executive;35;5561;5;No;1;1;0;0.13583739369895106;Baixo risco
600;Sales;Sales Executive;35;4717;11;No;3;3;0;0.13572091320686142;Baixo risco
41;Research & Development;Laboratory Technician;30;2206;10;No;3;3;0;0.13519344616864196;Baixo risco
1722;Human Resources;Human Resources;41;6430;3;No;2;3;0;0.13425879277663075;Baixo risco
1585;Sales;Sales Executive;36;6815;1;No;3;3;0;0.13352470884983844;Baixo risco
878;Human Resources;Human Resources;36;2342;5;No;1;3;0;0.1335088734633747;Baixo risco
864;Sales;Sales Executive;45;10761;5;Yes;1;3;0;0.13346133092427565;Baixo risco
38;Sales;Manager;46;18947;2;No;1;2;0;0.13283971075309461;Baixo risco
1106;Research & Development;Laboratory Technician;25;3691;7;Yes;4;4;1;0.1325921601396878;Baixo risco
1694;Research & Development;Research Scientist;55;3537;4;No;2;3;0;0.13240038973181364;Baixo risco
808;Sales;Sales Executive;34;6500;3;No;1;3;0;0.13172496103033143;Baixo risco
1391;Sales;Sales Executive;51;10596;4;No;2;3;0;0.1311241575229827;Baixo risco
1836;Sales;Sales Executive;26;4684;5;No;4;3;0;0.13096776671712007;Baixo risco
80;Research & Development;Research Director;50;18740;27;Yes;3;2;0;0.13018812499625718;Baixo risco
240;Sales;Sales Executive;45;5006;5;Yes;1;4;0;0.12983455748656522;Baixo risco
1996;Sales;Sales Representative;31;3067;2;No;3;3;0;0.12909584997350515;Baixo risco
643;Research & Development;Laboratory Technician;24;2127;1;No;2;3;0;0.12889686767195893;Baixo risco
1724;Research & Development;Manufacturing Director;40;6516;1;Yes;1;3;0;0.1286984989970368;Baixo risco
22;Research & Development;Laboratory Technician;22;2935;1;Yes;4;2;0;0.12844108366565685;Baixo risco
799;Research & Development;Manufacturing Director;54;5485;5;Yes;1;3;0;0.12786939143110224;Baixo risco
1907;Research & Development;Laboratory Technician;56;2587;4;No;4;3;1;0.1270211201788574;Baixo risco
802;Research & Development;Research Scientist;37;2782;5;Yes;1;2;0;0.1264247826579382;Baixo risco
199;Research & Development;Manager;41;17181;7;No;1;2;0;0.12634363523532294;Baixo risco
1492;Sales;Sales Representative;35;2404;1;No;3;3;0;0.12611763647510388;Baixo risco
889;Sales;Sales Executive;32;6524;10;No;2;3;0;0.12518406399319706;Baixo risco
125;Sales;Sales Executive;32;5010;11;No;3;3;0;0.12504323111706064;Baixo risco
388;Sales;Sales Executive;29;4554;10;No;4;2;0;0.1249768683209549;Baixo risco
74;Sales;Sales Executive;35;9069;9;No;1;2;0;0.12492893167684391;Baixo risco
1119;Sales;Sales Executive;38;8740;8;Yes;3;3;0;0.12398324765534786;Baixo risco
2009;Research & Development;Healthcare Representative;33;4878;9;Yes;4;3;0;0.12362269862677171;Baixo risco
1547;Research & Development;Healthcare Representative;42;10124;20;Yes;4;1;0;0.12337127042570256;Baixo risco
1333;Research & Development;Laboratory Technician;44;2362;3;No;1;4;1;0.12278884035354794;Baixo risco
1609;Research & Development;Research Scientist;30;2141;6;No;2;2;0;0.12268743030755742;Baixo risco
1870;Research & Development;Research Scientist;27;4774;7;No;1;2;0;0.12246038677640363;Baixo risco
1204;Sales;Manager;46;17048;26;No;1;3;0;0.12242048983394115;Baixo risco
1364;Sales;Sales Representative;27;2534;1;No;4;3;0;0.12190226657781518;Baixo risco
1599;Research & Development;Laboratory Technician;43;4876;6;No;2;3;0;0.12184031282189417;Baixo risco
11;Research & Development;Laboratory Technician;30;2693;1;No;3;3;0;0.12117347481124621;Baixo risco
1044;Sales;Sales Representative;33;2342;2;No;4;2;0;0.12094335803684753;Baixo risco
1736;Research & Development;Manufacturing Director;31;5238;5;No;4;2;0;0.12092092433145886;Baixo risco
1542;Research & Development;Laboratory Technician;42;4841;1;No;2;3;0;0.12005123333189557;Baixo risco
667;Sales;Sales Representative;27;3041;4;No;1;3;1;0.11992047823968453;Baixo risco
1126;Research & Development;Manufacturing Director;43;10820;8;No;1;3;0;0.11975150671144005;Baixo risco
449;Sales;Sales Executive;27;6349;5;Yes;2;3;0;0.11939168352199511;Baixo risco
1048;Sales;Manager;59;11904;6;Yes;4;1;0;0.11797720840899176;Baixo risco
1506;Research & Development;Research Scientist;28;1563;1;No;3;1;0;0.11727850177998567;Baixo risco
1394;Research & Development;Research Scientist;37;2996;6;Yes;3;3;0;0.11705496159963348;Baixo risco
1545;Research & Development;Manufacturing Director;33;4320;5;No;2;3;0;0.11687802394289115;Baixo risco
1321;Research & Development;Manager;30;11916;9;Yes;1;3;0;0.11639381105518565;Baixo risco
1827;Research & Development;Manufacturing Director;47;10333;22;Yes;2;3;0;0.11639192802375407;Baixo risco
194;Research & Development;Research Scientist;30;2632;5;No;3;2;0;0.11621453335125773;Baixo risco
169;Research & Development;Laboratory Technician;22;2523;2;No;4;3;0;0.11612872703388313;Baixo risco
1814;Research & Development;Healthcare Representative;41;6870;3;No;2;1;0;0.11515562343920745;Baixo risco
1509;Research & Development;Laboratory Technician;49;4789;3;No;1;3;0;0.11436850599260173;Baixo risco
1790;Research & Development;Healthcare Representative;36;8321;12;Yes;1;3;0;0.11371379750120918;Baixo risco
1591;Sales;Manager;50;19331;1;Yes;3;3;0;0.11290353985483273;Baixo risco
451;Research & Development;Healthcare Representative;43;9985;1;No;1;2;0;0.1124482930243715;Baixo risco
1389;Research & Development;Manufacturing Director;31;6179;10;Yes;3;2;1;0.11233545548614547;Baixo risco
31;Research & Development;Research Scientist;34;2960;4;No;1;3;1;0.1118611421514274;Baixo risco
1710;Sales;Sales Representative;36;4502;13;No;4;2;0;0.1118585598672557;Baixo risco
1294;Research & Development;Manufacturing Director;36;5410;16;Yes;2;3;0;0.1118043300410396;Baixo risco
1042;Research & Development;Laboratory Technician;36;2743;17;No;1;3;1;0.11168157240231573;Baixo risco
1515;Research & Development;Healthcare Representative;33;6388;0;Yes;3;3;0;0.11158522386728324;Baixo risco
1973;Human Resources;Manager;55;19636;10;Yes;2;3;0;0.11153404555539628;Baixo risco
1864;Sales;Sales Representative;27;3540;9;No;3;3;0;0.11134715460057376;Baixo risco
1647;Research & Development;Research Scientist;27;3517;3;No;3;3;0;0.11109058742656373;Baixo risco
1503;Sales;Sales Executive;47;4591;5;Yes;3;2;0;0.11106026523473722;Baixo risco
1792;Research & Development;Research Scientist;44;2342;5;Yes;2;2;1;0.11062711272038724;Baixo risco
1974;Research & Development;Laboratory Technician;31;1129;1;Yes;4;3;0;0.11060361812478334;Baixo risco
1966;Research & Development;Manufacturing Director;32;9679;1;No;4;3;0;0.11038284618669836;Baixo risco
1648;Research & Development;Research Scientist;27;2580;4;No;4;2;0;0.1100229733906193;Baixo risco
1682;Research & Development;Healthcare Representative;36;5347;3;No;3;2;0;0.1092988276624548;Baixo risco
366;Sales;Sales Executive;29;6644;0;No;2;3;0;0.10914541269881774;Baixo risco
1956;Research & Development;Research Scientist;31;5003;10;No;1;3;0;0.10891285100178463;Baixo risco
903;Sales;Sales Executive;47;4537;7;Yes;4;3;0;0.10880494080065298;Baixo risco
511;Research & Development;Research Scientist;22;2244;2;No;2;3;0;0.1068759825761551;Baixo risco
743;Research & Development;Manufacturing Director;38;7861;1;Yes;3;4;0;0.10624879055641735;Baixo risco
758;Research & Development;Laboratory Technician;23;2500;4;No;1;4;0;0.10617280509201667;Baixo risco
828;Research & Development;Research Scientist;28;4382;2;No;3;2;1;0.10616677624333622;Baixo risco
872;Research & Development;Manufacturing Director;22;4775;2;No;4;1;0;0.10615044696210253;Baixo risco
781;Sales;Sales Executive;25;6180;6;No;4;2;0;0.10613353257650089;Baixo risco
1195;Research & Development;Research Scientist;45;4477;3;Yes;3;2;0;0.10569974706996643;Baixo risco
679;Research & Development;Research Scientist;32;6322;6;Yes;4;2;0;0.10544113393363222;Baixo risco
1865;Human Resources;Human Resources;29;2804;1;No;2;3;0;0.10527922301789958;Baixo risco
5;Research & Development;Research Scientist;33;2909;8;Yes;3;3;0;0.10414011052870964;Baixo risco
1886;Research & Development;Manufacturing Director;35;4788;3;Yes;2;3;0;0.10372656319974403;Baixo risco
1292;Research & Development;Research Scientist;42;2372;1;Yes;2;3;0;0.10312474624798706;Baixo risco
926;Research & Development;Manufacturing Director;22;4171;3;Yes;3;4;1;0.10200079464584685;Baixo risco
